word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
family;0.329052;0.329052;0.329052;0.31046799999999997;0.31046799999999997;0.31046799999999997;0.313352;0.313352;0.313352;1626;2708;4334;2167.0;True/True;True/True
federal;0.30806;0.30806;0.30806;0.297939;0.297939;0.297939;0.300902;0.300902;0.300902;256;1380;1636;818.0;True/True;True/True
gain;0.33857;0.33857;0.33857;0.32356799999999997;0.32356799999999997;0.32356799999999997;0.32756399999999997;0.32756399999999997;0.32756399999999997;439;287;726;363.0;True/True;True/True
gallery;0.263861;0.263861;0.263861;0.244996;0.244996;0.244996;0.253307;0.253307;0.253307;123;191;314;157.0;True/True;True/True
honour;0.300136;0.300136;0.300136;0.29141300000000003;0.29141300000000003;0.29141300000000003;0.30134099999999997;0.30134099999999997;0.30134099999999997;341;22;363;181.5;True/True;True/True
incidence;0.0;0.0;0.0;0.0;0.0;0.0;0.379711;0.379711;0.379711;2;45;47;23.5;True/False;True/False
infection;0.299089;0.299089;0.299089;0.292695;0.292695;0.292695;0.302104;0.302104;0.302104;11;75;86;43.0;True/True;True/True
jet;0.33163200000000004;0.33163200000000004;0.33163200000000004;0.27728;0.27728;0.27728;0.280589;0.280589;0.280589;50;211;261;130.5;True/True;True/True
justice;0.301206;0.301206;0.301206;0.284288;0.284288;0.284288;0.287813;0.287813;0.287813;1152;586;1738;869.0;True/True;True/True
leaf;0.335084;0.335084;0.335084;0.313375;0.313375;0.313375;0.313375;0.313375;0.313375;184;120;304;152.0;True/True;True/True
lift;0.332687;0.332687;0.332687;0.316085;0.316085;0.316085;0.320782;0.320782;0.320782;193;255;448;224.0;True/True;True/True
lips;0.42158599999999996;0.42158599999999996;0.42158599999999996;0.41485299999999997;0.41485299999999997;0.41485299999999997;0.414579;0.414579;0.414579;1017;586;1603;801.5;True/True;True/True
maid;0.34121399999999996;0.34121399999999996;0.34121399999999996;0.34568899999999997;0.34568899999999997;0.34568899999999997;0.341888;0.341888;0.341888;147;111;258;129.0;True/True;True/True
martial;0.331045;0.331045;0.331045;0.30525599999999997;0.30525599999999997;0.30525599999999997;0.316652;0.316652;0.316652;109;50;159;79.5;True/True;True/True
maybe;0.40015;0.40015;0.40015;0.404113;0.404113;0.404113;0.409012;0.409012;0.409012;55;1740;1795;897.5;True/True;True/True
mirror;0.286524;0.286524;0.286524;0.24726599999999999;0.24726599999999999;0.24726599999999999;0.271305;0.271305;0.271305;123;420;543;271.5;True/True;True/True
mobility;0.38155300000000003;0.38155300000000003;0.38155300000000003;0.0;0.0;0.0;0.0;0.0;0.0;3;55;58;29.0;True/False;True/False
mood;0.398486;0.398486;0.398486;0.39660500000000004;0.39660500000000004;0.39660500000000004;0.399356;0.399356;0.399356;185;278;463;231.5;True/True;True/True
negligence;0.310383;0.310383;0.310383;0.310383;0.310383;0.310383;0.327567;0.327567;0.327567;25;18;43;21.5;True/True;True/True
net;0.316539;0.316539;0.316539;0.29183400000000004;0.29183400000000004;0.29183400000000004;0.287689;0.287689;0.287689;75;234;309;154.5;True/True;True/True
novel;0.331917;0.331917;0.331917;0.315723;0.315723;0.315723;0.314931;0.314931;0.314931;191;344;535;267.5;True/True;True/True
nurse;0.28368699999999997;0.28368699999999997;0.28368699999999997;0.267018;0.267018;0.267018;0.266702;0.266702;0.266702;129;288;417;208.5;True/True;True/True
optical;0.338544;0.338544;0.338544;0.0;0.0;0.0;0.361622;0.361622;0.361622;8;42;50;25.0;True/False;True/False
orange;0.40779299999999996;0.40779299999999996;0.40779299999999996;0.36743400000000004;0.36743400000000004;0.36743400000000004;0.37354299999999996;0.37354299999999996;0.37354299999999996;125;356;481;240.5;True/True;True/True
organism;0.363817;0.363817;0.363817;0.0;0.0;0.0;0.0;0.0;0.0;7;50;57;28.5;True/False;True/False
palace;0.291105;0.291105;0.291105;0.265287;0.265287;0.265287;0.27211599999999997;0.27211599999999997;0.27211599999999997;347;205;552;276.0;True/True;True/True
parent;0.332624;0.332624;0.332624;0.30688200000000004;0.30688200000000004;0.30688200000000004;0.306539;0.306539;0.306539;294;217;511;255.5;True/True;True/True
participate;0.36991599999999997;0.36991599999999997;0.36991599999999997;0.360057;0.360057;0.360057;0.36385700000000004;0.36385700000000004;0.36385700000000004;35;144;179;89.5;True/True;True/True
prestige;0.29029499999999997;0.29029499999999997;0.29029499999999997;0.279044;0.279044;0.279044;0.282018;0.282018;0.282018;11;91;102;51.0;True/True;True/True
prize;0.338377;0.338377;0.338377;0.316796;0.316796;0.316796;0.316777;0.316777;0.316777;227;162;389;194.5;True/True;True/True
program;0.37109699999999995;0.37109699999999995;0.37109699999999995;0.0;0.0;0.0;0.0;0.0;0.0;2;1331;1333;666.5;True/False;True/False
rabbit;0.285933;0.285933;0.285933;0.281388;0.281388;0.281388;0.287409;0.287409;0.287409;22;109;131;65.5;True/True;True/True
refuse;0.355135;0.355135;0.355135;0.303793;0.303793;0.303793;0.335372;0.335372;0.335372;243;149;392;196.0;True/True;True/True
romance;0.31402199999999997;0.31402199999999997;0.31402199999999997;0.291524;0.291524;0.291524;0.291524;0.291524;0.291524;187;117;304;152.0;True/True;True/True
scene;0.321177;0.321177;0.321177;0.294867;0.294867;0.294867;0.307275;0.307275;0.307275;1154;767;1921;960.5;True/True;True/True
signal;0.339283;0.339283;0.339283;0.293518;0.293518;0.293518;0.318333;0.318333;0.318333;205;203;408;204.0;True/True;True/True
sleep;0.328768;0.328768;0.328768;0.312907;0.312907;0.312907;0.316909;0.316909;0.316909;782;810;1592;796.0;True/True;True/True
smoking;0.336564;0.336564;0.336564;0.32101799999999997;0.32101799999999997;0.32101799999999997;0.32405900000000004;0.32405900000000004;0.32405900000000004;112;208;320;160.0;True/True;True/True
sphere;0.323804;0.323804;0.323804;0.294657;0.294657;0.294657;0.312337;0.312337;0.312337;235;69;304;152.0;True/True;True/True
spine;0.46962200000000004;0.46962200000000004;0.46962200000000004;0.42487600000000003;0.42487600000000003;0.42487600000000003;0.402129;0.402129;0.402129;24;106;130;65.0;True/True;True/True
strategy;0.305113;0.305113;0.305113;0.29904000000000003;0.29904000000000003;0.29904000000000003;0.301265;0.301265;0.301265;11;327;338;169.0;True/True;True/True
street;0.303485;0.303485;0.303485;0.280395;0.280395;0.280395;0.29394699999999996;0.29394699999999996;0.29394699999999996;744;2014;2758;1379.0;True/True;True/True
structure;0.339132;0.339132;0.339132;0.332375;0.332375;0.332375;0.33641;0.33641;0.33641;202;493;695;347.5;True/True;True/True
substance;0.323621;0.323621;0.323621;0.294561;0.294561;0.294561;0.312019;0.312019;0.312019;282;173;455;227.5;True/True;True/True
substances;0.328529;0.328529;0.328529;0.294279;0.294279;0.294279;0.329915;0.329915;0.329915;67;60;127;63.5;True/True;True/True
sulphate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;4;11;5.5;False/False;False/False
tenure;0.369839;0.369839;0.369839;0.327386;0.327386;0.327386;0.344752;0.344752;0.344752;44;57;101;50.5;True/True;True/True
transaction;0.328453;0.328453;0.328453;0.323223;0.323223;0.323223;0.329971;0.329971;0.329971;87;51;138;69.0;True/True;True/True
trap;0.334393;0.334393;0.334393;0.281981;0.281981;0.281981;0.298935;0.298935;0.298935;62;125;187;93.5;True/True;True/True
upwards;0.39298299999999997;0.39298299999999997;0.39298299999999997;0.375554;0.375554;0.375554;0.378188;0.378188;0.378188;140;34;174;87.0;True/True;True/True
users;0.0;0.0;0.0;0.364492;0.364492;0.364492;0.0;0.0;0.0;1;128;129;64.5;True/False;True/False
vaccine;0.362247;0.362247;0.362247;0.0;0.0;0.0;0.0;0.0;0.0;2;49;51;25.5;True/False;True/False
virtual;0.0;0.0;0.0;0.30903400000000003;0.30903400000000003;0.30903400000000003;0.31661;0.31661;0.31661;17;84;101;50.5;True/True;True/True
virus;0.29320999999999997;0.29320999999999997;0.29320999999999997;0.27628;0.27628;0.27628;0.276276;0.276276;0.276276;13;124;137;68.5;True/True;True/True
west;0.28077199999999997;0.28077199999999997;0.28077199999999997;0.25318;0.25318;0.25318;0.261329;0.261329;0.261329;739;1453;2192;1096.0;True/True;True/True
wine;0.308131;0.308131;0.308131;0.288031;0.288031;0.288031;0.294023;0.294023;0.294023;426;494;920;460.0;True/True;True/True
woman;0.28774;0.28774;0.28774;0.272097;0.272097;0.272097;0.284771;0.284771;0.284771;1973;2892;4865;2432.5;True/True;True/True
women;0.284931;0.284931;0.284931;0.2721;0.2721;0.2721;0.27210300000000004;0.27210300000000004;0.27210300000000004;919;2688;3607;1803.5;True/True;True/True
