word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
lass;0.376819;0.376819;0.376819;0.369322;0.369322;0.369322;0.375652;0.375652;0.375652;60;90;150;75.0;True/True;True/True
multitude;0.428842;0.428842;0.428842;0.418944;0.418944;0.418944;0.42311800000000005;0.42311800000000005;0.42311800000000005;334;103;437;218.5;True/True;True/True
ounce;0.370665;0.370665;0.370665;0.36706;0.36706;0.36706;0.3739;0.3739;0.3739;113;78;191;95.5;True/True;True/True
part;0.302641;0.302641;0.302641;0.266459;0.266459;0.266459;0.281175;0.281175;0.281175;4066;3034;7100;3550.0;True/True;True/True
pin;0.32757;0.32757;0.32757;0.311307;0.311307;0.311307;0.311307;0.311307;0.311307;74;128;202;101.0;True/True;True/True
plane;0.34925500000000004;0.34925500000000004;0.34925500000000004;0.32724200000000003;0.32724200000000003;0.32724200000000003;0.33005300000000004;0.33005300000000004;0.33005300000000004;234;584;818;409.0;True/True;True/True
player;0.367206;0.367206;0.367206;0.33879899999999996;0.33879899999999996;0.33879899999999996;0.360338;0.360338;0.360338;71;418;489;244.5;True/True;True/True
prop;0.333847;0.333847;0.333847;0.29323499999999997;0.29323499999999997;0.29323499999999997;0.313221;0.313221;0.313221;76;67;143;71.5;True/True;True/True
quilt;0.360473;0.360473;0.360473;0.356053;0.356053;0.356053;0.35981799999999997;0.35981799999999997;0.35981799999999997;65;145;210;105.0;True/True;True/True
rag;0.330629;0.330629;0.330629;0.334646;0.334646;0.334646;0.337131;0.337131;0.337131;37;107;144;72.0;True/True;True/True
record;0.358011;0.358011;0.358011;0.333998;0.333998;0.333998;0.347575;0.347575;0.347575;325;870;1195;597.5;True/True;True/True
relationship;0.409383;0.409383;0.409383;0.392872;0.392872;0.392872;0.396854;0.396854;0.396854;121;601;722;361.0;True/True;True/True
risk;0.338267;0.338267;0.338267;0.29428899999999997;0.29428899999999997;0.29428899999999997;0.31657399999999997;0.31657399999999997;0.31657399999999997;309;649;958;479.0;True/True;True/True
savage;0.32961599999999996;0.32961599999999996;0.32961599999999996;0.32256399999999996;0.32256399999999996;0.32256399999999996;0.322131;0.322131;0.322131;511;144;655;327.5;True/True;True/True
stab;0.387271;0.387271;0.387271;0.372775;0.372775;0.372775;0.378867;0.378867;0.378867;77;93;170;85.0;True/True;True/True
stroke;0.351153;0.351153;0.351153;0.32038099999999997;0.32038099999999997;0.32038099999999997;0.336575;0.336575;0.336575;151;181;332;166.0;True/True;True/True
thump;0.38713800000000004;0.38713800000000004;0.38713800000000004;0.37456799999999996;0.37456799999999996;0.37456799999999996;0.373902;0.373902;0.373902;62;99;161;80.5;True/True;True/True
tip;0.344926;0.344926;0.344926;0.297516;0.297516;0.297516;0.31902600000000003;0.31902600000000003;0.31902600000000003;63;266;329;164.5;True/True;True/True
tree;0.295526;0.295526;0.295526;0.273215;0.273215;0.273215;0.27876;0.27876;0.27876;1061;748;1809;904.5;True/True;True/True
twist;0.40794600000000003;0.40794600000000003;0.40794600000000003;0.40392;0.40392;0.40392;0.407499;0.407499;0.407499;115;194;309;154.5;True/True;True/True
word;0.32368;0.32368;0.32368;0.30958600000000003;0.30958600000000003;0.30958600000000003;0.31365;0.31365;0.31365;1872;1392;3264;1632.0;True/True;True/True
