word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
deliver;0.344161;0.344161;0.344161;0.333958;0.333958;0.333958;0.337446;0.337446;0.337446;129;164;293;146.5;True/True;True/True
structure;0.339132;0.339132;0.339132;0.332375;0.332375;0.332375;0.33641;0.33641;0.33641;202;493;695;347.5;True/True;True/True
bag;0.348543;0.348543;0.348543;0.331402;0.331402;0.331402;0.332434;0.332434;0.332434;163;652;815;407.5;True/True;True/True
tenure;0.369839;0.369839;0.369839;0.327386;0.327386;0.327386;0.344752;0.344752;0.344752;44;57;101;50.5;True/True;True/True
plane;0.349255;0.349255;0.349255;0.327242;0.327242;0.327242;0.330053;0.330053;0.330053;234;584;818;409.0;True/True;True/True
graft;0.335229;0.335229;0.335229;0.325753;0.325753;0.325753;0.330341;0.330341;0.330341;89;86;175;87.5;True/True;True/True
gain;0.33857;0.33857;0.33857;0.323568;0.323568;0.323568;0.327564;0.327564;0.327564;439;287;726;363.0;True/True;True/True
transaction;0.328453;0.328453;0.328453;0.323223;0.323223;0.323223;0.329971;0.329971;0.329971;87;51;138;69.0;True/True;True/True
savage;0.329616;0.329616;0.329616;0.322564;0.322564;0.322564;0.322131;0.322131;0.322131;511;144;655;327.5;True/True;True/True
crisis;0.340848;0.340848;0.340848;0.321496;0.321496;0.321496;0.327146;0.327146;0.327146;134;389;523;261.5;True/True;True/True
smoking;0.336564;0.336564;0.336564;0.321018;0.321018;0.321018;0.324059;0.324059;0.324059;112;208;320;160.0;True/True;True/True
stroke;0.351153;0.351153;0.351153;0.320381;0.320381;0.320381;0.336575;0.336575;0.336575;151;181;332;166.0;True/True;True/True
lane;0.35648;0.35648;0.35648;0.319961;0.319961;0.319961;0.332067;0.332067;0.332067;177;213;390;195.0;True/True;True/True
donkey;0.318658;0.318658;0.318658;0.318701;0.318701;0.318701;0.319771;0.319771;0.319771;82;114;196;98.0;True/True;True/True
ceiling;0.345316;0.345316;0.345316;0.318367;0.318367;0.318367;0.328896;0.328896;0.328896;95;270;365;182.5;True/True;True/True
dealers;0.311099;0.311099;0.311099;0.318357;0.318357;0.318357;0.320169;0.320169;0.320169;26;132;158;79.0;True/True;True/True
prize;0.338377;0.338377;0.338377;0.316796;0.316796;0.316796;0.316777;0.316777;0.316777;227;162;389;194.5;True/True;True/True
lift;0.332687;0.332687;0.332687;0.316085;0.316085;0.316085;0.320782;0.320782;0.320782;193;255;448;224.0;True/True;True/True
disorder;0.333462;0.333462;0.333462;0.315884;0.315884;0.315884;0.323055;0.323055;0.323055;93;93;186;93.0;True/True;True/True
novel;0.331917;0.331917;0.331917;0.315723;0.315723;0.315723;0.314931;0.314931;0.314931;191;344;535;267.5;True/True;True/True
leaf;0.335084;0.335084;0.335084;0.313375;0.313375;0.313375;0.313375;0.313375;0.313375;184;120;304;152.0;True/True;True/True
sleep;0.328768;0.328768;0.328768;0.312907;0.312907;0.312907;0.316909;0.316909;0.316909;782;810;1592;796.0;True/True;True/True
pin;0.32757;0.32757;0.32757;0.311307;0.311307;0.311307;0.311307;0.311307;0.311307;74;128;202;101.0;True/True;True/True
family;0.329052;0.329052;0.329052;0.310468;0.310468;0.310468;0.313352;0.313352;0.313352;1626;2708;4334;2167.0;True/True;True/True
negligence;0.310383;0.310383;0.310383;0.310383;0.310383;0.310383;0.327567;0.327567;0.327567;25;18;43;21.5;True/True;True/True
atom;0.318811;0.318811;0.318811;0.309906;0.309906;0.309906;0.326173;0.326173;0.326173;12;51;63;31.5;True/True;True/True
word;0.32368;0.32368;0.32368;0.309586;0.309586;0.309586;0.31365;0.31365;0.31365;1872;1392;3264;1632.0;True/True;True/True
curtain;0.306076;0.306076;0.306076;0.309295;0.309295;0.309295;0.305148;0.305148;0.305148;121;122;243;121.5;True/True;True/True
context;0.0;0.0;0.0;0.309205;0.309205;0.309205;0.318672;0.318672;0.318672;5;159;164;82.0;True/False;True/False
virtual;0.0;0.0;0.0;0.309034;0.309034;0.309034;0.31661;0.31661;0.31661;17;84;101;50.5;True/True;True/True
coach;0.323826;0.323826;0.323826;0.308726;0.308726;0.308726;0.313332;0.313332;0.313332;129;433;562;281.0;True/True;True/True
parent;0.332624;0.332624;0.332624;0.306882;0.306882;0.306882;0.306539;0.306539;0.306539;294;217;511;255.5;True/True;True/True
compact;0.339881;0.339881;0.339881;0.306766;0.306766;0.306766;0.319913;0.319913;0.319913;193;66;259;129.5;True/True;True/True
chairman;0.327745;0.327745;0.327745;0.306531;0.306531;0.306531;0.310857;0.310857;0.310857;149;661;810;405.0;True/True;True/True
martial;0.331045;0.331045;0.331045;0.305256;0.305256;0.305256;0.316652;0.316652;0.316652;109;50;159;79.5;True/True;True/True
ball;0.319605;0.319605;0.319605;0.303794;0.303794;0.303794;0.303794;0.303794;0.303794;328;727;1055;527.5;True/True;True/True
refuse;0.355135;0.355135;0.355135;0.303793;0.303793;0.303793;0.335372;0.335372;0.335372;243;149;392;196.0;True/True;True/True
drug;0.308257;0.308257;0.308257;0.302095;0.302095;0.302095;0.29585;0.29585;0.29585;17;534;551;275.5;True/True;True/True
dining;0.318986;0.318986;0.318986;0.301647;0.301647;0.301647;0.304247;0.304247;0.304247;25;227;252;126.0;True/True;True/True
brick;0.331539;0.331539;0.331539;0.301549;0.301549;0.301549;0.296433;0.296433;0.296433;138;177;315;157.5;True/True;True/True
edge;0.320259;0.320259;0.320259;0.301198;0.301198;0.301198;0.305697;0.305697;0.305697;340;880;1220;610.0;True/True;True/True
curious;0.305906;0.305906;0.305906;0.300583;0.300583;0.300583;0.305523;0.305523;0.305523;401;244;645;322.5;True/True;True/True
delivery;0.334178;0.334178;0.334178;0.300119;0.300119;0.300119;0.317159;0.317159;0.317159;55;163;218;109.0;True/True;True/True
land;0.32814;0.32814;0.32814;0.299356;0.299356;0.299356;0.305756;0.305756;0.305756;1953;1438;3391;1695.5;True/True;True/True
strategy;0.305113;0.305113;0.305113;0.29904;0.29904;0.29904;0.301265;0.301265;0.301265;11;327;338;169.0;True/True;True/True
credit;0.315993;0.315993;0.315993;0.298872;0.298872;0.298872;0.301583;0.301583;0.301583;501;446;947;473.5;True/True;True/True
federal;0.30806;0.30806;0.30806;0.297939;0.297939;0.297939;0.300902;0.300902;0.300902;256;1380;1636;818.0;True/True;True/True
tip;0.344926;0.344926;0.344926;0.297516;0.297516;0.297516;0.319026;0.319026;0.319026;63;266;329;164.5;True/True;True/True
scene;0.321177;0.321177;0.321177;0.294867;0.294867;0.294867;0.307275;0.307275;0.307275;1154;767;1921;960.5;True/True;True/True
sphere;0.323804;0.323804;0.323804;0.294657;0.294657;0.294657;0.312337;0.312337;0.312337;235;69;304;152.0;True/True;True/True
substance;0.323621;0.323621;0.323621;0.294561;0.294561;0.294561;0.312019;0.312019;0.312019;282;173;455;227.5;True/True;True/True
circle;0.323112;0.323112;0.323112;0.2943;0.2943;0.2943;0.299892;0.299892;0.299892;406;413;819;409.5;True/True;True/True
risk;0.338267;0.338267;0.338267;0.294289;0.294289;0.294289;0.316574;0.316574;0.316574;309;649;958;479.0;True/True;True/True
substances;0.328529;0.328529;0.328529;0.294279;0.294279;0.294279;0.329915;0.329915;0.329915;67;60;127;63.5;True/True;True/True
signal;0.339283;0.339283;0.339283;0.293518;0.293518;0.293518;0.318333;0.318333;0.318333;205;203;408;204.0;True/True;True/True
prop;0.333847;0.333847;0.333847;0.293235;0.293235;0.293235;0.313221;0.313221;0.313221;76;67;143;71.5;True/True;True/True
disk;0.319524;0.319524;0.319524;0.293217;0.293217;0.293217;0.31235;0.31235;0.31235;18;58;76;38.0;True/True;True/True
infection;0.299089;0.299089;0.299089;0.292695;0.292695;0.292695;0.302104;0.302104;0.302104;11;75;86;43.0;True/True;True/True
net;0.316539;0.316539;0.316539;0.291834;0.291834;0.291834;0.287689;0.287689;0.287689;75;234;309;154.5;True/True;True/True
romance;0.314022;0.314022;0.314022;0.291524;0.291524;0.291524;0.291524;0.291524;0.291524;187;117;304;152.0;True/True;True/True
honour;0.300136;0.300136;0.300136;0.291413;0.291413;0.291413;0.301341;0.301341;0.301341;341;22;363;181.5;True/True;True/True
fiction;0.300566;0.300566;0.300566;0.288972;0.288972;0.288972;0.295058;0.295058;0.295058;165;314;479;239.5;True/True;True/True
wine;0.308131;0.308131;0.308131;0.288031;0.288031;0.288031;0.294023;0.294023;0.294023;426;494;920;460.0;True/True;True/True
architecture;0.300808;0.300808;0.300808;0.285275;0.285275;0.285275;0.292152;0.292152;0.292152;156;153;309;154.5;True/True;True/True
bell;0.317629;0.317629;0.317629;0.284402;0.284402;0.284402;0.292538;0.292538;0.292538;316;333;649;324.5;True/True;True/True
justice;0.301206;0.301206;0.301206;0.284288;0.284288;0.284288;0.287813;0.287813;0.287813;1152;586;1738;869.0;True/True;True/True
trap;0.334393;0.334393;0.334393;0.281981;0.281981;0.281981;0.298935;0.298935;0.298935;62;125;187;93.5;True/True;True/True
rabbit;0.285933;0.285933;0.285933;0.281388;0.281388;0.281388;0.287409;0.287409;0.287409;22;109;131;65.5;True/True;True/True
street;0.303485;0.303485;0.303485;0.280395;0.280395;0.280395;0.293947;0.293947;0.293947;744;2014;2758;1379.0;True/True;True/True
prestige;0.290295;0.290295;0.290295;0.279044;0.279044;0.279044;0.282018;0.282018;0.282018;11;91;102;51.0;True/True;True/True
jet;0.331632;0.331632;0.331632;0.27728;0.27728;0.27728;0.280589;0.280589;0.280589;50;211;261;130.5;True/True;True/True
disease;0.297111;0.297111;0.297111;0.277156;0.277156;0.277156;0.277156;0.277156;0.277156;359;530;889;444.5;True/True;True/True
virus;0.29321;0.29321;0.29321;0.27628;0.27628;0.27628;0.276276;0.276276;0.276276;13;124;137;68.5;True/True;True/True
attack;0.296033;0.296033;0.296033;0.275555;0.275555;0.275555;0.28265;0.28265;0.28265;445;731;1176;588.0;True/True;True/True
domain;0.294097;0.294097;0.294097;0.274384;0.274384;0.274384;0.283769;0.283769;0.283769;99;77;176;88.0;True/True;True/True
tree;0.295526;0.295526;0.295526;0.273215;0.273215;0.273215;0.27876;0.27876;0.27876;1061;748;1809;904.5;True/True;True/True
women;0.284931;0.284931;0.284931;0.2721;0.2721;0.2721;0.272103;0.272103;0.272103;919;2688;3607;1803.5;True/True;True/True
woman;0.28774;0.28774;0.28774;0.272097;0.272097;0.272097;0.284771;0.284771;0.284771;1973;2892;4865;2432.5;True/True;True/True
nurse;0.283687;0.283687;0.283687;0.267018;0.267018;0.267018;0.266702;0.266702;0.266702;129;288;417;208.5;True/True;True/True
part;0.302641;0.302641;0.302641;0.266459;0.266459;0.266459;0.281175;0.281175;0.281175;4066;3034;7100;3550.0;True/True;True/True
gas;0.287379;0.287379;0.287379;0.265832;0.265832;0.265832;0.271158;0.271158;0.271158;127;653;780;390.0;True/True;True/True
palace;0.291105;0.291105;0.291105;0.265287;0.265287;0.265287;0.272116;0.272116;0.272116;347;205;552;276.0;True/True;True/True
address;0.281596;0.281596;0.281596;0.264858;0.264858;0.264858;0.259848;0.259848;0.259848;400;396;796;398.0;True/True;True/True
energy;0.311702;0.311702;0.311702;0.261613;0.261613;0.261613;0.28709;0.28709;0.28709;402;805;1207;603.5;True/True;True/True
chemistry;0.267547;0.267547;0.267547;0.257786;0.257786;0.257786;0.262092;0.262092;0.262092;52;73;125;62.5;True/True;True/True
cost;0.281064;0.281064;0.281064;0.255312;0.255312;0.255312;0.276165;0.276165;0.276165;394;953;1347;673.5;True/True;True/True
west;0.280772;0.280772;0.280772;0.25318;0.25318;0.25318;0.261329;0.261329;0.261329;739;1453;2192;1096.0;True/True;True/True
card;0.267467;0.267467;0.267467;0.249111;0.249111;0.249111;0.261123;0.261123;0.261123;79;343;422;211.0;True/True;True/True
mirror;0.286524;0.286524;0.286524;0.247266;0.247266;0.247266;0.271305;0.271305;0.271305;123;420;543;271.5;True/True;True/True
gallery;0.263861;0.263861;0.263861;0.244996;0.244996;0.244996;0.253307;0.253307;0.253307;123;191;314;157.0;True/True;True/True
contact;0.263341;0.263341;0.263341;0.240627;0.240627;0.240627;0.245816;0.245816;0.245816;162;375;537;268.5;True/True;True/True
vaccine;0.362247;0.362247;0.362247;0.0;0.0;0.0;0.0;0.0;0.0;2;49;51;25.5;True/False;True/False
organism;0.363817;0.363817;0.363817;0.0;0.0;0.0;0.0;0.0;0.0;7;50;57;28.5;True/False;True/False
mobility;0.381553;0.381553;0.381553;0.0;0.0;0.0;0.0;0.0;0.0;3;55;58;29.0;True/False;True/False
program;0.371097;0.371097;0.371097;0.0;0.0;0.0;0.0;0.0;0.0;2;1331;1333;666.5;True/False;True/False
sulphate;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;4;11;5.5;False/False;False/False
optical;0.338544;0.338544;0.338544;0.0;0.0;0.0;0.361622;0.361622;0.361622;8;42;50;25.0;True/False;True/False
incidence;0.0;0.0;0.0;0.0;0.0;0.0;0.379711;0.379711;0.379711;2;45;47;23.5;True/False;True/False
